pressure
x	y	pressure
20.125	0.5	538.47041290523
20.375	0.5	538.360411915592
20.625	0.5	538.246882591598
20.875	0.5	538.130037136827
21.125	0.5	538.010082520759
21.375	0.5	537.88722044571
21.625	0.5	537.76164736585
21.875	0.5	537.633554407111
22.125	0.5	537.503127127302
22.375	0.5	537.370545117871
22.625	0.5	537.235981485311
22.875	0.5	537.099602266761
23.125	0.5	536.961565836764
23.375	0.5	536.82202235574
23.625	0.5	536.681113299758
23.875	0.5	536.538971098748
24.125	0.5	536.395718898357
24.375	0.5	536.251470450496
24.625	0.5	536.106330129602
24.875	0.5	535.960393065982
25.125	0.5	535.813745383932
25.375	0.5	535.666464530372
25.625	0.5	535.518619679009
25.875	0.5	535.370272195217
26.125	0.5	535.221476147483
26.375	0.5	535.072278852246
26.625	0.5	534.922721440002
26.875	0.5	534.772839431635
27.125	0.5	534.622663314964
27.375	0.5	534.472219112484
27.625	0.5	534.321528932246
27.875	0.5	534.170611494815
28.125	0.5	534.019482630207
28.375	0.5	533.868155739772
28.625	0.5	533.716642219055
28.875	0.5	533.564951838788
29.125	0.5	533.413093082262
29.375	0.5	533.261073438455
29.625	0.5	533.108899651348
29.875	0.5	532.956577926785
30.125	0.5	532.804114099138
30.375	0.5	532.651513760728
30.625	0.5	532.498782357543
30.875	0.5	532.345925255157
31.125	0.5	532.192947778848
31.375	0.5	532.039855232334
31.625	0.5	531.88665289997
31.875	0.5	531.733346035671
32.125	0.5	531.579939838675
32.375	0.5	531.426439422732
32.625	0.5	531.272849800359
32.875	0.5	531.11917587002
33.125	0.5	530.965422310772
33.375	0.5	530.81159344971
33.625	0.5	530.657693608231
33.875	0.5	530.503727657586
34.125	0.5	530.349699173474
34.375	0.5	530.195607287984
34.625	0.5	530.041455698078
34.875	0.5	529.88726967409
35.125	0.5	529.733051771789
35.375	0.5	529.578690424564
35.625	0.5	529.424175686751
35.875	0.5	529.270094081036
36.125	0.5	529.116552472198
36.375	0.5	528.960664240328
36.625	0.5	528.801152846325
36.875	0.5	528.654954811313
37.125	0.5	528.519654927323
37.375	0.5	528.362999654526
0.125	1.5	541.511549228975
0.375	1.5	541.475310019223
0.625	1.5	541.445299619309
0.875	1.5	541.414231750462
1.125	1.5	541.383356670967
1.375	1.5	541.352460051035
1.625	1.5	541.32157889545
1.875	1.5	541.290707139021
2.125	1.5	541.25984615997
2.375	1.5	541.228996115149
2.625	1.5	541.198157428938
2.875	1.5	541.16733054021
3.125	1.5	541.136515948172
3.375	1.5	541.105714207045
3.625	1.5	541.074925930119
3.875	1.5	541.044151793557
4.125	1.5	541.013392542038
4.375	1.5	540.982648995272
4.625	1.5	540.951922053561
4.875	1.5	540.921212700108
5.125	1.5	540.890521999171
5.375	1.5	540.859851092548
5.625	1.5	540.829201200991
5.875	1.5	540.798573639099
6.125	1.5	540.767969849416
6.375	1.5	540.737391452291
6.625	1.5	540.706840294512
6.875	1.5	540.676318467843
7.125	1.5	540.645828267447
7.375	1.5	540.615372074544
7.625	1.5	540.58495218314
7.875	1.5	540.554570625678
8.125	1.5	540.524229090966
8.375	1.5	540.493929047041
8.625	1.5	540.46367215692
8.875	1.5	540.433461021095
9.125	1.5	540.403300196896
9.375	1.5	540.37319735621
9.625	1.5	540.343164375225
9.875	1.5	540.313218125312
10.125	1.5	540.283380764243
10.375	1.5	540.253679407284
10.625	1.5	540.224145169621
10.875	1.5	540.19481168717
11.125	1.5	540.165713313199
11.375	1.5	540.136883231456
