x	$\phi$	X Velocity
49.875	-8.07479689139109e-07	0
50.125	-8.48824921655132e-07	0
50.375	-8.92189666909913e-07	0
50.625	-9.3766699421855e-07	0
50.875	-9.85353951252378e-07	0
51.125	-1.03535171720272e-06	0
51.375	-1.08776576094137e-06	0
51.625	-1.14270600429317e-06	0
51.875	-1.20028699053588e-06	0
52.125	-1.26062805824252e-06	0
52.375	-1.3238535205809e-06	0
52.625	-1.39009285018441e-06	0
52.875	-1.4594808697074e-06	0
53.125	-1.53215794817733e-06	0
53.375	-1.60827020325459e-06	0
53.625	-1.68796970950925e-06	0
53.875	-1.77141471282222e-06	0
54.125	-1.85876985101585e-06	0
54.375	-1.95020638081689e-06	0
54.625	-2.04590241125148e-06	0
54.875	-2.14604314356901e-06	0
55.125	-2.25082111778783e-06	0
55.375	-2.36043646595208e-06	0
55.625	-2.47509717218445e-06	0
55.875	-2.59501933961494e-06	0
56.125	-2.72042746426038e-06	0
56.375	-2.85155471592413e-06	0
56.625	-2.98864322617881e-06	0
56.875	-3.13194438348848e-06	0
57.125	-3.28171913551971e-06	0
57.375	-3.43823829868285e-06	0
57.625	-3.60178287493698e-06	0
57.875	-3.77264437588287e-06	0
58.125	-3.95112515415912e-06	0
58.375	-4.13753874214635e-06	0
58.625	-4.33221019797379e-06	0
58.875	-4.53547645881114e-06	0
59.125	-4.74768670141671e-06	0
59.375	-4.9692027098999e-06	0
59.625	-5.20039925064274e-06	0
59.875	-5.44166445431114e-06	0
60.125	-5.6934002048711e-06	0
60.375	-5.95602253551002e-06	0
60.625	-6.22996203134611e-06	0
60.875	-6.51566423879187e-06	0
61.125	-6.81359008141943e-06	0
61.375	-7.12421628215627e-06	0
61.625	-7.44803579162001e-06	0
61.875	-7.78555822238029e-06	0
62.125	-8.13731028891394e-06	0
62.375	-8.50383625299683e-06	0
62.625	-8.88569837425269e-06	0
62.875	-9.2834773655542e-06	0
63.125	-9.69777285294661e-06	0
63.375	-1.01292038397376e-05	0
63.625	-1.05784091743694e-05	0
63.875	-1.10460480216619e-05	0
64.125	-1.15328003369851e-05	0
64.375	-1.20393673428887e-05	0
64.625	-1.25664720076875e-05	0
64.875	-1.31148595254668e-05	0
65.125	-1.36852977969398e-05	0
65.375	-1.42785779105542e-05	0
65.625	-1.48955146232128e-05	0
65.875	-1.55369468399319e-05	0
66.125	-1.62037380917296e-05	0
66.375	-1.68967770109956e-05	0
66.625	-1.7616977803555e-05	0
66.875	-1.83652807166007e-05	0
67.125	-1.91426525016292e-05	0
67.375	-1.9950086871469e-05	0
67.625	-2.07886049504565e-05	0
67.875	-2.16592557167645e-05	0
68.125	-2.25631164358492e-05	0
68.375	-2.35012930839381e-05	0
68.625	-2.44749207604333e-05	0
68.875	-2.54851640880658e-05	0
69.125	-2.65332175995839e-05	0
69.375	-2.76203061097203e-05	0
69.625	-2.87476850711312e-05	0
69.875	-2.99166409129594e-05	0
70.125	-3.11284913606213e-05	0
70.375	-3.23845857353788e-05	0
70.625	-3.36863052322048e-05	0
70.875	-3.5035063174409e-05	0
71.125	-3.6432305243442e-05	0
71.375	-3.7879509682255e-05	0
71.625	-3.93781874705424e-05	0
71.875	-4.09298824701547e-05	0
72.125	-4.25361715389239e-05	0
72.375	-4.41986646111017e-05	0
72.625	-4.59190047425709e-05	0
72.875	-4.76988681189468e-05	0
73.125	-4.95399640246519e-05	0
73.375	-5.14440347710058e-05	0
73.625	-5.3412855581339e-05	0
73.875	-5.54482344311047e-05	0
74.125	-5.75520118409329e-05	0
74.375	-5.972606062054e-05	0
74.625	-6.1972285561381e-05	0
74.875	-6.42926230759088e-05	0
75.125	-6.66890407812811e-05	0
75.375	-6.91635370253388e-05	0
75.625	-7.17181403526661e-05	0
75.875	-7.43549089085266e-05	0
76.125	-7.70759297784678e-05	0
76.375	-7.98833182613766e-05	0
76.625	-8.27792170737731e-05	0
76.875	-8.5765795483132e-05	0
77.125	-8.88452483680304e-05	0
77.375	-9.20197952029356e-05	0
77.625	-9.5291678965464e-05	0
77.875	-9.86631649639674e-05	0
78.125	-0.000102136539583333	0
78.375	-0.000105714108946915	0
78.625	-0.000109398197492569	0
78.875	-0.000113191146460783	0
79.125	-0.000117095312292989	0
79.375	-0.000121113064938157	0
79.625	-0.000125246786065889	0
79.875	-0.00012949886718425	0
80.125	-0.000133871707660705	0
80.375	-0.000138367712644591	0
80.625	-0.000142989290889656	0
80.875	-0.000147738852475294	0
81.125	-0.000152618806425246	0
81.375	-0.000157631558222613	0
81.625	-0.000162779507220191	0
81.875	-0.00016806504394526	0
82.125	-0.000173490547298107	0
