pressure
x	y	pressure
25.125	0.5	-2.17640577878828e+17
25.375	0.5	-2.13084316192268e+17
25.625	0.5	-2.08535702977431e+17
25.875	0.5	-2.03994471245144e+17
26.125	0.5	-1.99460362430591e+17
26.375	0.5	-1.94933125991798e+17
26.625	0.5	-1.90412519128433e+17
26.875	0.5	-1.85898306366232e+17
27.125	0.5	-1.81390259237028e+17
27.375	0.5	-1.76888156001049e+17
27.625	0.5	-1.72391781291517e+17
27.875	0.5	-1.6790092587512e+17
28.125	0.5	-1.63415386354303e+17
28.375	0.5	-1.58934964869228e+17
28.625	0.5	-1.5445946891057e+17
28.875	0.5	-1.49988711037114e+17
29.125	0.5	-1.45522508636013e+17
29.375	0.5	-1.41060683748985e+17
29.625	0.5	-1.36603062807719e+17
29.875	0.5	-1.3214947643631e+17
30.125	0.5	-1.27699759285646e+17
30.375	0.5	-1.23253749801294e+17
30.625	0.5	-1.18811290060124e+17
30.875	0.5	-1.14372225608611e+17
31.125	0.5	-1.0993640525488e+17
31.375	0.5	-1.05503680934306e+17
31.625	0.5	-1.01073907563587e+17
31.875	0.5	-9.66469428408901e+16
32.125	0.5	-9.22226471133949e+16
32.375	0.5	-8.78008832599916e+16
32.625	0.5	-8.33815165233678e+16
32.875	0.5	-7.89644143717621e+16
33.125	0.5	-7.45494463895988e+16
33.375	0.5	-7.01364841424649e+16
33.625	0.5	-6.57254010363559e+16
33.875	0.5	-6.13160721923682e+16
34.125	0.5	-5.69083743391293e+16
34.375	0.5	-5.25021857216595e+16
34.625	0.5	-4.80973860796643e+16
34.875	0.5	-4.3693857250815e+16
35.125	0.5	-3.92914873854267e+16
35.375	0.5	-3.48901929050236e+16
35.625	0.5	-3.04900160104126e+16
35.875	0.5	-2.60914931265153e+16
36.125	0.5	-2.16968223683673e+16
36.375	0.5	-1.73129178103682e+16
36.625	0.5	-1.29580283647294e+16
36.875	0.5	-8.67517094362025e+15
37.125	0.5	-4.57090161933257e+15
37.375	0.5	-1.00235259446124e+15
0.125	1.5	-9.46267919125309e+17
0.375	1.5	-9.4630335547726e+17
0.625	1.5	-9.46381656657223e+17
0.875	1.5	-9.46513601386843e+17
1.125	1.5	-9.46709414872862e+17
1.375	1.5	-9.46976518329709e+17
1.625	1.5	-9.47319556083912e+17
1.875	1.5	-9.47741437205174e+17
2.125	1.5	-9.48244292512352e+17
2.375	1.5	-9.48830022608454e+17
2.625	1.5	-9.49500526082133e+17
2.875	1.5	-9.50257751842731e+17
3.125	1.5	-9.51103655703557e+17
3.375	1.5	-9.52040080704876e+17
3.625	1.5	-9.53068540295171e+17
3.875	1.5	-9.54189848156311e+17
4.125	1.5	-9.5540349044433e+17
4.375	1.5	-9.56706555806654e+17
4.625	1.5	-9.58091896608539e+17
4.875	1.5	-9.59544941892341e+17
5.125	1.5	-9.61038137983236e+17
